,loc,pol
1,Global,0
2,,1
3,In Cyberspace,0
4,"OKC, OK",0
5,,0
6,"California, USA",-1
7,Kingdom of Heaven ,0
8,,0
9,,0
10,USA,0
11,,-1
12,"Richmond, VA",0
13,United States,0
14,Texting “resist” 50409 ,0
15,"Lincoln, NE",1
16,United States,0
17,"East Overshoe, NFLD",0
18,Tennessee ,0
19,,0
20,In loco parentis,0
21,Kekistan,0
22,New Orleans,0
23,New Jersey coast,0
24,,-1
25,Haute Coutre,0
26,"Louisiana, USA",1
27,"California, USA",0
28,,0
29,"North Carolina, USA",0
30,Rocky Mountains @7500' ~  ✪Republic of Texas Expat,0
31,"Vidor, TX",0
32,"California, USA",0
33,,1
34,"Texas, USA",1
35,Newark DE,1
36,,-1
37,NSW Australia,0
38,"New York, NY",0
39,Minneapolis USA,0
40,,0
41,,1
42,USA,-1
43,"rochester, ny/ los angeles, ca",0
44,,0
45,"Scottsdale, AZ",0
46,"saint catherine, Jamaica",1
47,"California, USA",0
48," New Jersey, Not quite the USA",0
49,Chicago,1
50,Liverpool,0
51,,0
52,"Pennsylvania, USA",0
53,,-1
54,Dirty South/Gulf Coast,-1
55,,0
56,,0
57,,0
58,"Lincoln, NE",0
59,New England,0
60,,0
61,,-1
62,"Texas, USA",0
63,Planet Earth,0
64,,0
65,,1
66,The United States of Russia,0
67,"New Braunfels, Texas",1
68,,1
69,,1
70,"Los Angeles, CA",1
71,,1
72,"Vidor, TX",0
73,,-1
74,,0
75,,0
76,,0
77,Germany,1
78,,0
79,Mt. Kailash,0
80,,0
81,"Philadelphia, PA",0
82,"Florida, USA",0
83,,0
84,God's country,0
85,,0
86,Parker AZ,0
87,"Dayton, WA",0
88,"California, USA",0
89,,0
90,,0
91,,0
92,,0
93,Huddersfield,1
94,,0
95,"Nebraska, USA",0
96,Abuja,1
97,Kingdom of Heaven ,0
98,,0
99,,1
100,The Corner Condo,1
101,,1
102,,1
103,"Kennebunkport, ME",-1
104,Canada,0
105,,0
106,,0
107,Bay Area ,-1
108,"Katy, TX",0
109,United States,0
110,"tampa, fl",0
111,,1
112,"Sarasota, FL",1
113,,0
114,,1
115,,1
116,"Plymouth, Minnesota",-1
117,,0
118,3rd Rock from the Sun,0
119,,0
120,"Lincoln, NE",-1
121,"Palm Springs, CA",1
122,"Northern California, USA",0
123,sf bay area Gab.ai/SpiritWise,0
124,,0
125,"Peoria, Arizona",0
126,,0
127,,0
128,United States,1
129,"Virginia, USA",0
130,"Amarillo, TX",0
131,"Arizona, USA",-1
132,,0
133,"Portland, Maine",0
134,,0
135,,0
136,USA,1
137,,0
138,,1
139,Toronto || ig: kyl.cl,0
140,United States,0
141,"San Francisco, CA",0
142,NYC/Charlotte,-1
143,,-1
144,"Wyoming, USA",0
145,,-1
146,"Wisconsin, USA",0
147,,1
148,"Vidor, TX",0
149,Maryland ,0
150,Kingdom of Heaven ,0
151,Springfield Mo.,0
152,United States,0
153,USA,1
154,Beaumont Texas ,0
155,"Maryland, USA",0
156,"Lake Livingston, Texas",0
157,"Connecticut, USA",1
158,Texting “resist” 50409 ,0
159,DMV,0
160,NYC metro area,0
161,"Tampa, FL",0
162,"Atlanta, GA. USA",0
163,USA,0
164,"Vidor, TX",-1
165,The Best Investment on Earth?,1
166,"Westerly, RI",0
167,Bayside NY,0
168,Christian/English Speaking USA,1
169,Texas,-1
170,"California, USA",0
171,,1
172,,0
173,,-1
174,"Anchorage, Alaska ",0
175,,0
176,"Peoria, IL",1
177,"Massachusetts, USA",1
178,North America,-1
179,,1
180,,-1
181,"Sandpoint, ID",0
182,,0
183,3 Continents,0
184,Kingdom of Heaven ,-1
185,United States,0
186,Christian/English Speaking USA,0
187,,0
188,NC,1
189,"Kilkenny, Ireland",0
190,"Hartford, CT",-1
191,"Nebraska, USA",0
192,,0
193,"New York, USA",-1
194,,0
195,"Arizona, USA",0
196,,0
197,,-1
198,,0
199,"Toronto, Canada",0
200,"Morristown, TN",1
201,,1
202,"Torrance, CA",-1
203,"Scotland, United Kingdom",0
204,HOME OF THE BRAVE,0
205,,0
206,,0
207,"Ohio, USA",0
208,"ÜT: 39.771128,-75.569618",0
209,"Clemson, SC",1
210,"Coventry, RI",1
211,,0
212,"South Dakota, USA",0
213,Germany,0
214,"New Hampshire, USA",0
215,,1
216,Bayside NY,0
217,"Wooster, OH",0
218,,0
219,,0
220,,0
221,Florida ,1
222, ,0
223,"Vidor, TX",0
224,"Minnesota, USA",0
225,"Douglass Hills, KY",1
226,United States,0
227,"Liberty, MO",0
228,"Toronto, Ontario, Canada",-1
229,,0
230,,0
231,North Carolina,0
232,United States,0
233,,-1
234,USA,0
235,yonkers,0
236,,1
237,USA,0
238,,1
239,,-1
240,"Humphreys County, TN",1
241,United States,0
242,,0
243,"Glasgow, Scotland",1
